after_case_folding,after_remove_punctuation,after_remove_stopwords
@worksfess dituduh keluar di jam kerja padahal ada rapat sama manajer tidak ada yg membantu semua menjatuhkan karena ini salahku wkwkw lucu sih padahal aku juga udah ijin dan jelas mau rapat akhirnya aku di suruh pindah cabang mendadak ,worksfess dituduh keluar di jam kerja padahal ada rapat sama manajer tidak ada yg membantu semua menjatuhkan karena ini salahku wkwkw lucu sih padahal aku juga udah ijin dan jelas mau rapat akhirnya aku di suruh pindah cabang mendadak ,worksfess dituduh jam kerja rapat manajer yg membantu menjatuhkan salahku wkwkw lucu sih udah ijin rapat suruh pindah cabang mendadak
@alezzme_04 @kangrekom @collegemenfess kebetulan bbrp tahun lalu kerja di agentur buat ke jerman ngelayanin murid2 yg mau ausbildung fsj studi pindah kerja kesana juga. program ferienjob emang nggak resmi terlalu beresiko juga krn gaada jaminan apa2. hitungannya bukan magang tp kerja sambilan,alezzme 04 kangrekom collegemenfess kebetulan bbrp tahun lalu kerja di agentur buat ke jerman ngelayanin murid2 yg mau ausbildung fsj studi pindah kerja kesana juga  program ferienjob emang nggak resmi terlalu beresiko juga krn gaada jaminan apa2  hitungannya bukan magang tp kerja sambilan,alezzme 04 kangrekom collegemenfess bbrp kerja agentur jerman ngelayanin murid2 yg ausbildung fsj studi pindah kerja kesana program ferienjob emang resmi beresiko krn gaada jaminan apa2 hitungannya magang tp kerja sambilan
@abanggsayur @jemimaways sapa blg kl kerja sesuai bidangnya ya saingan banyak... tapi kl pindah area bisa menang lawan jurusan asli bidang pekerjaan tsb... hehe,abanggsayur jemimaways sapa blg kl kerja sesuai bidangnya ya saingan banyak    tapi kl pindah area bisa menang lawan jurusan asli bidang pekerjaan tsb    hehe,abanggsayur jemimaways sapa blg kl kerja sesuai bidangnya saingan kl pindah area menang lawan jurusan asli bidang pekerjaan tsb hehe
work! / upgrade aku mau tanya sama kalian aku ngerasa skill n knowledge ku sudah cukup memadai untuk upgrade ke posisi spv .. gimana cara kalian untuk upgrade posisi? pindah ke kantor lain atau mengajukan ke hrd tempat kerja sendiri? dan cara nya gimana ya menurut (cont..),work   upgrade aku mau tanya sama kalian aku ngerasa skill n knowledge ku sudah cukup memadai untuk upgrade ke posisi spv    gimana cara kalian untuk upgrade posisi  pindah ke kantor lain atau mengajukan ke hrd tempat kerja sendiri  dan cara nya gimana ya menurut cont  ,work upgrade ngerasa skill n knowledge ku memadai upgrade posisi spv gimana upgrade posisi pindah kantor mengajukan hrd kerja nya gimana cont
jadi sekarang ga cerita-cerita lagi pindah kerja kemana dan di mana biar linkedin aja yg tau,jadi sekarang ga cerita cerita lagi pindah kerja kemana dan di mana biar linkedin aja yg tau,ga cerita cerita pindah kerja biar linkedin aja yg tau
orang di sekitarku udah cape denger aku pindah kerja sama kok aku yang jalanin juga cape :) tapi ya namanya juga perjalanan..,orang di sekitarku udah cape denger aku pindah kerja sama kok aku yang jalanin juga cape   tapi ya namanya juga perjalanan  ,orang sekitarku udah cape denger pindah kerja jalanin cape namanya perjalanan
@magmalaya tukar kerja. kerja dkt kilang yg ramai makcik makcik. klau dgn makcik makcik pun nk on dah boleh pindah negara pajeet.,magmalaya tukar kerja  kerja dkt kilang yg ramai makcik makcik  klau dgn makcik makcik pun nk on dah boleh pindah negara pajeet ,magmalaya tukar kerja kerja dkt kilang yg ramai makcik makcik klau dgn makcik makcik nk on dah pindah negara pajeet
ayah gue kyknya udh feeling sih karna gue tiap pulang kerja tuh mood berantakan trs abis sholat isya dia suka pergokin gue ketiduran di msh pake mukena trs dia bangunin buat pindah ke kamar :( dia jg tiap gue pulang kerja berusaha tanya gimana kak?,ayah gue kyknya udh feeling sih karna gue tiap pulang kerja tuh mood berantakan trs abis sholat isya dia suka pergokin gue ketiduran di msh pake mukena trs dia bangunin buat pindah ke kamar   dia jg tiap gue pulang kerja berusaha tanya gimana kak ,ayah gue kyknya udh feeling sih karna gue pulang kerja tuh mood berantakan trs abis sholat isya suka pergokin gue ketiduran msh pake mukena trs bangunin pindah kamar jg gue pulang kerja berusaha gimana kak
kunci naik nya pendapatan adalah sering pindah tempat kerja,kunci naik nya pendapatan adalah sering pindah tempat kerja,kunci nya pendapatan pindah kerja
@andreqve @worksfess kalo aku pengen pindah ke daerah trus bikin produk2 kimia yg natural bikinan sendiri. kalo mood ya kerja trus hasilnya dijual. kalo ga mood ya ga jualan. impianku .,andreqve worksfess kalo aku pengen pindah ke daerah trus bikin produk2 kimia yg natural bikinan sendiri  kalo mood ya kerja trus hasilnya dijual  kalo ga mood ya ga jualan  impianku  ,andreqve worksfess kalo pengen pindah daerah trus bikin produk2 kimia yg natural bikinan kalo mood kerja trus hasilnya dijual kalo ga mood ga jualan impianku
@magmalaya teringat sahabat lama sy sblm dia berhenti kerja pindah negara lain. dia bg pesanan pd kwn2 sekerja kita ini kena ingat baik lelaki atau perempuan beringat sblm terkena. ada tanggungjawab masing2 yg perlu di galas baik di rumah mahupun di tempat kerja. mula2 memang seronok.,magmalaya teringat sahabat lama sy sblm dia berhenti kerja pindah negara lain  dia bg pesanan pd kwn2 sekerja kita ini kena ingat baik lelaki atau perempuan beringat sblm terkena  ada tanggungjawab masing2 yg perlu di galas baik di rumah mahupun di tempat kerja  mula2 memang seronok ,magmalaya sahabat sy sblm berhenti kerja pindah negara bg pesanan pd kwn2 sekerja kena lelaki perempuan beringat sblm terkena tanggungjawab masing2 yg galas rumah mahupun kerja mula2 seronok
@worksfess bertahan sudah 8 tahun di perusahaan yg sama bukan tak ingin pindah sudah banyak tawaran. tapi seiring bertambahnya umur lambat laun juga berdamai gak ada perlu ditinggalkan dari lingkungan kerja yg sehat fasilitas kesehatan untuk keluarga dan dekat dengan keluarga.,worksfess bertahan sudah 8 tahun di perusahaan yg sama bukan tak ingin pindah sudah banyak tawaran  tapi seiring bertambahnya umur lambat laun juga berdamai gak ada perlu ditinggalkan dari lingkungan kerja yg sehat fasilitas kesehatan untuk keluarga dan dekat dengan keluarga ,worksfess bertahan 8 perusahaan yg pindah tawaran seiring bertambahnya umur lambat laun berdamai gak ditinggalkan lingkungan kerja yg sehat fasilitas kesehatan keluarga keluarga
@ice_sparkle_ pindah kerja rei ,ice sparkle  pindah kerja rei ,ice sparkle pindah kerja rei
tadi lagi sekali almost accident. mungkin nak tunggu aku accident betul2 injured apa semua baru setuju untuk pindah rumah dekat sikit dengan tempat kerja kot ,tadi lagi sekali almost accident  mungkin nak tunggu aku accident betul2 injured apa semua baru setuju untuk pindah rumah dekat sikit dengan tempat kerja kot ,almost accident nak tunggu accident betul2 injured setuju pindah rumah sikit kerja kot
gue harus udh biasain masuk banyak shift nih. gabisa 4 hari/minggu. ntr kalo jd pindah kerja bisa kaget gue ,gue harus udh biasain masuk banyak shift nih  gabisa 4 hariminggu  ntr kalo jd pindah kerja bisa kaget gue ,gue udh biasain masuk shift nih gabisa 4 hariminggu ntr kalo jd pindah kerja kaget gue
@worksfess iya. aku kerja lebih dr 10 taun di kantor ini gajinya segitu gitu aja tapi emang comfort bubble bgd si. sedangkan suamiku selama 10 tahun udah pindah lebih dr 5 kali. dr level staff sampai manager aku agak nyesel tapi gmn kondisi skrng beneran udah nyaman.,worksfess iya  aku kerja lebih dr 10 taun di kantor ini gajinya segitu gitu aja tapi emang comfort bubble bgd si  sedangkan suamiku selama 10 tahun udah pindah lebih dr 5 kali  dr level staff sampai manager aku agak nyesel tapi gmn kondisi skrng beneran udah nyaman ,worksfess iya kerja dr 10 taun kantor gajinya segitu gitu aja emang comfort bubble bgd si suamiku 10 udah pindah dr 5 kali dr level staff manager nyesel gmn kondisi skrng beneran udah nyaman
@uki23 logika rusak dari mas uki. sdh pas memang harus terlihat kerja terus. msk kalah sama yg swing supporter yg tiba² pindah haluan tp udh dpt jatah bumn. ,uki23 logika rusak dari mas uki  sdh pas memang harus terlihat kerja terus  msk kalah sama yg swing supporter yg tiba  pindah haluan tp udh dpt jatah bumn  ,uki23 logika rusak mas uki sdh pas kerja msk kalah yg swing supporter yg pindah haluan tp udh dpt jatah bumn
nenek sebelah ni tegur time nak kuar gi kerja tadi. baru pindah sini ke? handsome orangnya ahhhhh ,nenek sebelah ni tegur time nak kuar gi kerja tadi  baru pindah sini ke  handsome orangnya ahhhhh ,nenek sebelah ni tegur time nak kuar gi kerja pindah handsome orangnya ahhhhh
@doktertifa @aniesbaswedan silahkan pindah kerja ke afghanistan pakistan iran jadi dokter di sana. sebentar lagi indonesia punya presiden baru yaitu prabowo subianto dan gibran sebagai wakilnya.,doktertifa aniesbaswedan silahkan pindah kerja ke afghanistan pakistan iran jadi dokter di sana  sebentar lagi indonesia punya presiden baru yaitu prabowo subianto dan gibran sebagai wakilnya ,doktertifa aniesbaswedan silahkan pindah kerja afghanistan pakistan iran dokter sebentar indonesia presiden prabowo subianto gibran wakilnya
gue ga ngerti dh sama dosen. gue sengaja pilih kelas karyawan dan pindah tempat kerja biar ada waktunya. malah minta kelas pagi jam 6? trus sore jam 3? gilak! gue kerja anjir stresz. ga seenaknya kyk gini jga g sih? masa gue kehitungnya absen trus kentot!,gue ga ngerti dh sama dosen  gue sengaja pilih kelas karyawan dan pindah tempat kerja biar ada waktunya  malah minta kelas pagi jam 6  trus sore jam 3  gilak  gue kerja anjir stresz  ga seenaknya kyk gini jga g sih  masa gue kehitungnya absen trus kentot ,gue ga ngerti dh dosen gue sengaja pilih kelas karyawan pindah kerja biar kelas pagi jam 6 trus sore jam 3 gilak gue kerja anjir stresz ga kyk gini jga g sih gue kehitungnya absen trus kentot
gue pernah berpikir akan begini tapi setelah gue kerja di perusahaan sekarang yang otw 2 tahun gue enggak mau pindah lagi. lingkungan baik atasan baik. walau salary gak sebesar itu tapi gue lebih menikmati lingkungan kerja sih,gue pernah berpikir akan begini tapi setelah gue kerja di perusahaan sekarang yang otw 2 tahun gue enggak mau pindah lagi  lingkungan baik atasan baik  walau salary gak sebesar itu tapi gue lebih menikmati lingkungan kerja sih,gue berpikir gue kerja perusahaan otw 2 gue pindah lingkungan atasan salary gak gue menikmati lingkungan kerja sih
iya sih gorden itu long term investment. kalo beberapa tahun depan laki gue pindah kerja negara lain gimana? angkut gorden ikutan pindahan bakalan berat di biaya bagasi trus mau dijual marketplace bisa laku kah?,iya sih gorden itu long term investment  kalo beberapa tahun depan laki gue pindah kerja negara lain gimana  angkut gorden ikutan pindahan bakalan berat di biaya bagasi trus mau dijual marketplace bisa laku kah ,iya sih gorden long term investment kalo laki gue pindah kerja negara gimana angkut gorden ikutan pindahan berat biaya bagasi trus dijual marketplace laku
pada saat itu duit udah habis2 an buat furnished rumah keluar duit segitu buat gorden udah kaya kesetrum listrik ye kan. lalu tahun 2023 gue dan suami pindah ke abu dhabi karena suami pindah kerja. ternyata budget gorden yang sebelumnya itu tidak seberapa shayyy~,pada saat itu duit udah habis2 an buat furnished rumah keluar duit segitu buat gorden udah kaya kesetrum listrik ye kan  lalu tahun 2023 gue dan suami pindah ke abu dhabi karena suami pindah kerja  ternyata budget gorden yang sebelumnya itu tidak seberapa shayyy ,duit udah habis2 an furnished rumah duit segitu gorden udah kaya kesetrum listrik ye 2023 gue suami pindah abu dhabi suami pindah kerja budget gorden shayyy
@drwingbook untuk saat ini katanya sih sdng tdk fokus ke sexnya dulu. lg fokus kejar karier dan nyari kerja dulu. iya dia bilang bgitu mau pindah role aja. pernah gw isengin klo kita blikan opsinya mungkin gantian gmn ? kata dia gmau. ya udh ga bakal bisa barengan scara intim lagi.,drwingbook untuk saat ini katanya sih sdng tdk fokus ke sexnya dulu  lg fokus kejar karier dan nyari kerja dulu  iya dia bilang bgitu mau pindah role aja  pernah gw isengin klo kita blikan opsinya mungkin gantian gmn   kata dia gmau  ya udh ga bakal bisa barengan scara intim lagi ,drwingbook sih sdng tdk fokus sexnya lg fokus kejar karier nyari kerja iya bilang bgitu pindah role aja gw isengin klo blikan opsinya gantian gmn gmau udh ga barengan scara intim
@worksfess dulu fg lulus smk jadi waitress terus pindah tempat jadi op admin pindah lg kerja sambil kuliah jadi admin keu setelah lulus jadi admin pjk skrg jadi accounting deh. padahal kuliahnya manaj. pemerintahan hehe,worksfess dulu fg lulus smk jadi waitress terus pindah tempat jadi op admin pindah lg kerja sambil kuliah jadi admin keu setelah lulus jadi admin pjk skrg jadi accounting deh  padahal kuliahnya manaj  pemerintahan hehe,worksfess fg lulus smk waitress pindah op admin pindah lg kerja kuliah admin keu lulus admin pjk skrg accounting deh kuliahnya manaj pemerintahan hehe
@meinmokhtar boleh dah suruh kwn tu g sewa bilik rumah lain. ckp anon pun nak pindah. tak nak duduk rumah sedara dah. dah kerja nak kena berdikari la duduk sendiri.,meinmokhtar boleh dah suruh kwn tu g sewa bilik rumah lain  ckp anon pun nak pindah  tak nak duduk rumah sedara dah  dah kerja nak kena berdikari la duduk sendiri ,meinmokhtar dah suruh kwn tu g sewa bilik rumah ckp anon nak pindah nak duduk rumah sedara dah dah kerja nak kena berdikari la duduk
@itsmehexa @worksfess yah... kalo yang tukin 100% udah lumayan lho (yg kelas 8nya 6jtan) thp 10jtan/bln belum dinas itupun kalo hoki bisa dapet unit kerja yang santai juga. work life balance lah kalo gk dipindah ke ikn sih dipindah ya boncos ini yg harus diperhatiin calon pendaftar pindah gk?,itsmehexa worksfess yah    kalo yang tukin 100  udah lumayan lho yg kelas 8nya 6jtan thp 10jtanbln belum dinas itupun kalo hoki bisa dapet unit kerja yang santai juga  work life balance lah kalo gk dipindah ke ikn sih dipindah ya boncos ini yg harus diperhatiin calon pendaftar pindah gk ,itsmehexa worksfess yah kalo tukin 100 udah lumayan lho yg kelas 8nya 6jtan thp 10jtanbln dinas itupun kalo hoki dapet unit kerja santai work life balance kalo gk dipindah ikn sih dipindah boncos yg diperhatiin calon pendaftar pindah gk
@worksfess awal2 gw jadi pns juga pengen resign sih rasanya karena tupoksinya ga jelas. pokoknya tiap masuk kerja rasanya kayak taik lah. tapi lama2 enak juga tupoksi udah jelas ada tambahan (lewat dinas2). tapi makin ke sini kayak taik lagi sih pengen pindah ke pemprov kalo bisa ,worksfess awal2 gw jadi pns juga pengen resign sih rasanya karena tupoksinya ga jelas  pokoknya tiap masuk kerja rasanya kayak taik lah  tapi lama2 enak juga tupoksi udah jelas ada tambahan lewat dinas2  tapi makin ke sini kayak taik lagi sih pengen pindah ke pemprov kalo bisa ,worksfess awal2 gw pns pengen resign sih tupoksinya ga pokoknya masuk kerja kayak taik lama2 enak tupoksi udah tambahan dinas2 kayak taik sih pengen pindah pemprov kalo
pgn segera dapet slc. pgn pindah kerja ke tempat yg bayarannya lebih layak. ya allah gapapa kok aku kerja 24/7 asal dibayar dengan layak dan manusiawi aamiin,pgn segera dapet slc  pgn pindah kerja ke tempat yg bayarannya lebih layak  ya allah gapapa kok aku kerja 247 asal dibayar dengan layak dan manusiawi aamiin,pgn dapet slc pgn pindah kerja yg bayarannya layak allah gapapa kerja 247 dibayar layak manusiawi aamiin
setuju sih gue kerja 3 tahun di job pertama as karyawan dibawah umr trus pindah salary naik 50%an. tp saran gue tiap pindah ke satu perusahaan yg lain masa kerja yg lama juga faktor. pas intrvw dibilang km lama juga 3 thn disaat orng jaman skrng pindah2 kerja pdhl baru 1 thn,setuju sih gue kerja 3 tahun di job pertama as karyawan dibawah umr trus pindah salary naik 50 an  tp saran gue tiap pindah ke satu perusahaan yg lain masa kerja yg lama juga faktor  pas intrvw dibilang km lama juga 3 thn disaat orng jaman skrng pindah2 kerja pdhl baru 1 thn,setuju sih gue kerja 3 job as karyawan dibawah umr trus pindah salary 50 an tp saran gue pindah perusahaan yg kerja yg faktor pas intrvw dibilang km 3 thn disaat orng jaman skrng pindah2 kerja pdhl 1 thn
@sauffie_84 @meinmokhtar sedangkan mmg dari awal kawin dah plan nak duk sekejap je . suami belah bahagi nak pindah sbb mak dia buat muka kesian dia . camsial guna air mata . boleh dia suruh menantu yang kerja untuk sewa rumah nanti ? bodoh ke ? dia tu sihat walafiat je hahah sebelum kawin elok je keje ,sauffie 84 meinmokhtar sedangkan mmg dari awal kawin dah plan nak duk sekejap je   suami belah bahagi nak pindah sbb mak dia buat muka kesian dia   camsial guna air mata   boleh dia suruh menantu yang kerja untuk sewa rumah nanti   bodoh ke   dia tu sihat walafiat je hahah sebelum kawin elok je keje ,sauffie 84 meinmokhtar mmg kawin dah plan nak duk sekejap je suami belah bahagi nak pindah sbb mak muka kesian camsial air mata suruh menantu kerja sewa rumah bodoh tu sihat walafiat je hahah kawin elok je keje
@worksfess betul kunci naik gaji itu bukan negosiasi tapi tidak takut pindah tempat kerja,worksfess betul kunci naik gaji itu bukan negosiasi tapi tidak takut pindah tempat kerja,worksfess kunci gaji negosiasi takut pindah kerja
kadang bingung di posisi sekarang aku harus ngapain. mau nyari kerja bener udh terlanjur kuliah dgn persyaratan yg harus dijalanin dan gabisa pindah kelas karyawan. mau kerja pun kerja apaan kalau berkas pelengkapnya gaada haha. mesti cari yg fleksibel tp dgn pendapatan yg ok.,kadang bingung di posisi sekarang aku harus ngapain  mau nyari kerja bener udh terlanjur kuliah dgn persyaratan yg harus dijalanin dan gabisa pindah kelas karyawan  mau kerja pun kerja apaan kalau berkas pelengkapnya gaada haha  mesti cari yg fleksibel tp dgn pendapatan yg ok ,kadang bingung posisi ngapain nyari kerja bener udh terlanjur kuliah dgn persyaratan yg dijalanin gabisa pindah kelas karyawan kerja kerja berkas pelengkapnya gaada haha mesti cari yg fleksibel tp dgn pendapatan yg
when i was a child and still living in kalimantan gue juga punya burung yg pinter bgt tp dia burung beo terus kita pindah ke jawa burungnya dititipin ke pembantu yg dulu kerja di rumah lama. terus ga lama dia meninggal huhuhu sedih bgt ;( ;(,when i was a child and still living in kalimantan gue juga punya burung yg pinter bgt tp dia burung beo terus kita pindah ke jawa burungnya dititipin ke pembantu yg dulu kerja di rumah lama  terus ga lama dia meninggal huhuhu sedih bgt  ,when i was a child and still living in kalimantan gue burung yg pinter bgt tp burung beo pindah jawa burungnya dititipin pembantu yg kerja rumah ga meninggal huhuhu sedih bgt
@worksfess good for you tp ga segampang yg kamu ketik kamu pikir pindah kerja segampang itu nder?,worksfess good for you tp ga segampang yg kamu ketik kamu pikir pindah kerja segampang itu nder ,worksfess good for you tp ga segampang yg ketik pikir pindah kerja segampang nder
@ardhifah3 pindah kerja,ardhifah3 pindah kerja,ardhifah3 pindah kerja
aku mau dapet kerja tetap di suatu kota yang cukup jauh dari domisili sekarang dengan gaji cukup jadi bisa pindah tempat tinggal dari kosan yg sekarang,aku mau dapet kerja tetap di suatu kota yang cukup jauh dari domisili sekarang dengan gaji cukup jadi bisa pindah tempat tinggal dari kosan yg sekarang,dapet kerja kota domisili gaji pindah tinggal kosan yg
@worksfess coba aja apply nder kalo masuk then pindah. pertimbangannya coke itu swasta asing grup gede gt chance lo buat ke posisi di luar negeri akan ada cuma ya pasti kerja keras banget. kalo jiwa lo ngejer karir gas ke swasta. kalo nggak ya stay aja.,worksfess coba aja apply nder kalo masuk then pindah  pertimbangannya coke itu swasta asing grup gede gt chance lo buat ke posisi di luar negeri akan ada cuma ya pasti kerja keras banget  kalo jiwa lo ngejer karir gas ke swasta  kalo nggak ya stay aja ,worksfess coba aja apply nder kalo masuk then pindah pertimbangannya coke swasta asing grup gede gt chance lo posisi negeri kerja keras banget kalo jiwa lo ngejer karir gas swasta kalo stay aja
@eri_crista @worksfess bener banget aku posisinya percis kaya gini. dan sekarang baru sadar mulai ketinggalan sama yang lain. mau pindah kerja susahnya minta ampun karna skill nya kurang ,eri crista worksfess bener banget aku posisinya percis kaya gini  dan sekarang baru sadar mulai ketinggalan sama yang lain  mau pindah kerja susahnya minta ampun karna skill nya kurang ,eri crista worksfess bener banget posisinya percis kaya gini sadar ketinggalan pindah kerja susahnya ampun karna skill nya
@alphakabupaten bapak seok kerja di perusahaan distribusi bahan kimia udah pindah ke bagian pusat. cuman masih sering suka disuruh cek lapangan kalo ada kapal mau sandar tapi ombaknya tinggi ,alphakabupaten bapak seok kerja di perusahaan distribusi bahan kimia udah pindah ke bagian pusat  cuman masih sering suka disuruh cek lapangan kalo ada kapal mau sandar tapi ombaknya tinggi ,alphakabupaten seok kerja perusahaan distribusi bahan kimia udah pindah pusat cuman suka disuruh cek lapangan kalo kapal sandar ombaknya
@convomf ortumu ga punya spupu/kluarga dekat kah? masa gada samsek. minta bntu jual aset berharga pindah ke rmh yg lebih kecil coba jd reseller online shop. kamu ngerti open bo pasti ngerti jg live tiktok. kerja di laundry/ cuci piring di rmh makan/ buka jasa setrika kiloan dirumah,convomf ortumu ga punya spupukluarga dekat kah  masa gada samsek  minta bntu jual aset berharga pindah ke rmh yg lebih kecil coba jd reseller online shop  kamu ngerti open bo pasti ngerti jg live tiktok  kerja di laundry cuci piring di rmh makan buka jasa setrika kiloan dirumah,convomf ortumu ga spupukluarga gada samsek bntu jual aset berharga pindah rmh yg coba jd reseller online shop ngerti open bo ngerti jg live tiktok kerja laundry cuci piring rmh makan buka jasa setrika kiloan dirumah
streaming yutub kalo kalian pake yt music gampang bgt lho tinggal bikin playlist terus pas wtss yg dimasukin queue itu mvnya. kaliannya bisa kerja ato masak ato cuci piring santai sambil bernyanyi ngga perlu sibuk pindah-pindahin lagu (pengalaman),streaming yutub kalo kalian pake yt music gampang bgt lho tinggal bikin playlist terus pas wtss yg dimasukin queue itu mvnya  kaliannya bisa kerja ato masak ato cuci piring santai sambil bernyanyi ngga perlu sibuk pindah pindahin lagu pengalaman,streaming yutub kalo pake yt music gampang bgt lho tinggal bikin playlist pas wtss yg dimasukin queue mvnya kaliannya kerja ato masak ato cuci piring santai bernyanyi ngga sibuk pindah pindahin lagu pengalaman
sudah 15 jam aku di kantor saatnya... pindah tempat kerja https://t.co/z4tftgukgd,sudah 15 jam aku di kantor saatnya    pindah tempat kerja https t coz4tftgukgd,15 jam kantor pindah kerja https t coz4tftgukgd
nyalain dnd tuh sbnrnya buat gak ngeliat pop up notifikasinya gue tuh wkwkwk terutam kalo lagi kerja. karna berbulan2 terbiasa hp no signal begitu pindah kantor dapet sinyal gue malah gampang kedistract dan ganggu pace kerja gue. malah jadi enak dnd.,nyalain dnd tuh sbnrnya buat gak ngeliat pop up notifikasinya gue tuh wkwkwk terutam kalo lagi kerja  karna berbulan2 terbiasa hp no signal begitu pindah kantor dapet sinyal gue malah gampang kedistract dan ganggu pace kerja gue  malah jadi enak dnd ,nyalain dnd tuh sbnrnya gak ngeliat pop up notifikasinya gue tuh wkwkwk terutam kalo kerja karna berbulan2 terbiasa hp no signal pindah kantor dapet sinyal gue gampang kedistract ganggu pace kerja gue enak dnd
@ultramangaul @lakiproblematik @tanyarlfes gak tau kak.. wkkwkw dia mangkir lama trus pindah kerja ke tempat lain gak tau alasannya apa. tp status di kepolisian masih aktif. udh ditegur berkali2. akhirnya dipecat,ultramangaul lakiproblematik tanyarlfes gak tau kak   wkkwkw dia mangkir lama trus pindah kerja ke tempat lain gak tau alasannya apa  tp status di kepolisian masih aktif  udh ditegur berkali2  akhirnya dipecat,ultramangaul lakiproblematik tanyarlfes gak tau kak wkkwkw mangkir trus pindah kerja gak tau alasannya tp status kepolisian aktif udh ditegur berkali2 dipecat
manifesting tahun ini pindah kerja di perusahaan yg jauh lebih baik dan jauh lebih menghargai kinerja karyawannya,manifesting tahun ini pindah kerja di perusahaan yg jauh lebih baik dan jauh lebih menghargai kinerja karyawannya,manifesting pindah kerja perusahaan yg menghargai kinerja karyawannya
@nomertuju @smgmenfess2 thats right. aku pernah sakit 3 bulanan kek merasa aku masih bakal hidup ga ya? gara2 kerja mulu gapunya waktu istirahat. sekarang sudah pindah kerja dan tiap kali hari libur itu bersyukur bgt,nomertuju smgmenfess2 thats right  aku pernah sakit 3 bulanan kek merasa aku masih bakal hidup ga ya  gara2 kerja mulu gapunya waktu istirahat  sekarang sudah pindah kerja dan tiap kali hari libur itu bersyukur bgt,nomertuju smgmenfess2 thats right sakit 3 bulanan kek hidup ga gara2 kerja mulu gapunya istirahat pindah kerja kali libur bersyukur bgt
dah kerja 15 taon+ baru pindah perusahaan 3x pantes gini2 ajah ‍,dah kerja 15 taon  baru pindah perusahaan 3x pantes gini2 ajah  ,dah kerja 15 taon pindah perusahaan 3x pantes gini2 ajah
@worksfess bitter truth sih tp memang naik gaji karyawan loyal itu 5% per tahun dan naik gaji karyawan pindah 30-100% per pindah kantor.. kerja ya ujung nya cari duit,worksfess bitter truth sih tp memang naik gaji karyawan loyal itu 5  per tahun dan naik gaji karyawan pindah 30 100  per pindah kantor   kerja ya ujung nya cari duit,worksfess bitter truth sih tp gaji karyawan loyal 5 gaji karyawan pindah 30 100 pindah kantor kerja ujung nya cari duit
gue bener2 ga fokus kerja dari tadi pas bu boss bilang mau pindah :((((( sedih bgt dari awal udah sama blio ,gue bener2 ga fokus kerja dari tadi pas bu boss bilang mau pindah   sedih bgt dari awal udah sama blio ,gue bener2 ga fokus kerja pas bu boss bilang pindah sedih bgt udah blio
@worksfess ga pindah itu sebenernya bukan karna faktor nyaman / stuck tapi ya karena ada faktor lain kayak jarak fleksibilitas waktu kerja gampang ijin atau hal sepele lainnya yang mungkin gabisa didapet ditempat baru who knows?,worksfess ga pindah itu sebenernya bukan karna faktor nyaman  stuck tapi ya karena ada faktor lain kayak jarak fleksibilitas waktu kerja gampang ijin atau hal sepele lainnya yang mungkin gabisa didapet ditempat baru who knows ,worksfess ga pindah sebenernya karna faktor nyaman stuck faktor kayak jarak fleksibilitas kerja gampang ijin sepele gabisa didapet ditempat who knows
@worksfess karena aku sendiri 3 thn kerja dengan 3 company yang berbeda alhamdulilahnya pindah dengan jalur talent scouting bukan active apply lagi. selalu percaya kesempatan dan kemampuan itu harus seimbang ,worksfess karena aku sendiri 3 thn kerja dengan 3 company yang berbeda alhamdulilahnya pindah dengan jalur talent scouting bukan active apply lagi  selalu percaya kesempatan dan kemampuan itu harus seimbang ,worksfess 3 thn kerja 3 company berbeda alhamdulilahnya pindah jalur talent scouting active apply percaya kesempatan kemampuan seimbang
@worksfess terus nanti di cv gimana? apa gak keliatan buruk? selama pindah tempat kerja dengan posisi/benefit lebih baik why not?,worksfess terus nanti di cv gimana  apa gak keliatan buruk  selama pindah tempat kerja dengan posisibenefit lebih baik why not ,worksfess cv gimana gak keliatan buruk pindah kerja posisibenefit why not
@worksfess i do the same things sii meski ya belum gede gede amat tp gaji skrng 4x gaji kerjaan pertama aku dulu udah 4 taun kerja setelah lulus ini si masih kecil tp tetep seru pengalaman pindah pindah gini,worksfess i do the same things sii meski ya belum gede gede amat tp gaji skrng 4x gaji kerjaan pertama aku dulu udah 4 taun kerja setelah lulus ini si masih kecil tp tetep seru pengalaman pindah pindah gini,worksfess i do the same things sii gede gede tp gaji skrng 4x gaji kerjaan udah 4 taun kerja lulus si tp tetep seru pengalaman pindah pindah gini
dalam 5 tahun udah pindah kerja 3 kali,dalam 5 tahun udah pindah kerja 3 kali,5 udah pindah kerja 3 kali
kalau kantor ngasih fasilitas mobil kebanyakan orang tetep ambil mobil pribadi. tapi kalo kantor ngasih asuransi ehh malah ogah ambil asuransi pribadi. trus klo phk resign pindah kerja pensiun mau gmn ya? udah dipikirin blom? #asuransipenting #lindungimasadepan,kalau kantor ngasih fasilitas mobil kebanyakan orang tetep ambil mobil pribadi  tapi kalo kantor ngasih asuransi ehh malah ogah ambil asuransi pribadi  trus klo phk resign pindah kerja pensiun mau gmn ya  udah dipikirin blom   asuransipenting  lindungimasadepan,kantor ngasih fasilitas mobil kebanyakan orang tetep ambil mobil pribadi kalo kantor ngasih asuransi ehh ogah ambil asuransi pribadi trus klo phk resign pindah kerja pensiun gmn udah dipikirin blom asuransipenting lindungimasadepan
